t,front,diss_cum,ke
1105.0,456.7648223562696,0.2698807622471136,0.0024494283093725363
1106.0,457.177389537404,0.2701257050780567,0.002449428309854181
1107.0,457.5826937760587,0.2703706479090732,0.002449428309615008
1108.0,457.9916712238015,0.27061559073998026,0.0024494283095345282
1109.0,458.4013048748714,0.2708605335709845,0.002449428309908793
1110.0,458.8063538159754,0.2711054764019398,0.0024494283093617493
1111.0,459.21898923438346,0.27135041923289427,0.002449428309905216
1112.0,459.6238259091361,0.2715953620638995,0.002449428309541099
1113.0,460.0340780252313,0.27184030489480654,0.0024494283096087102
1114.0,460.44241547943005,0.27208524772582215,0.0024494283098597984
1115.0,460.8480283675752,0.27233019055676627,0.0024494283093712964
1116.0,461.2604557797978,0.27257513338773204,0.0024494283099395575
1117.0,461.66501536258676,0.272820076218726,0.002449428309474921
1118.0,462.07627908727545,0.27306501904964187,0.002449428309685834
1119.0,462.48349790284453,0.2733099618806599,0.0024494283097966246
1120.0,462.88986551136816,0.2735549047115927,0.002449428309399744
1121.0,463.30180859347723,0.27379984754256975,0.0024494283099543816
1122.0,463.706281530681,0.2740447903735524,0.0024494283094208045
1123.0,464.1182804863202,0.2742897332044795,0.00244942830976083
1124.0,464.5245715061561,0.2745346760354976,0.0024494283097239358
1125.0,464.9318847822419,0.27477961886641905,0.002449428309445696
1126.0,465.3430670758495,0.27502456169740735,0.002449428309949272
1127.0,465.7476438252184,0.2752695045283787,0.002449428309383022
1128.0,466.1601017394465,0.2755144473593171,0.0024494283098292404
1129.0,466.56565565164755,0.2757593901903352,0.0024494283096471938
1130.0,466.97410575376585,0.2760043330212454,0.002449428309506399
1131.0,467.3842506118878,0.276249275852245,0.0024494283099247044
1132.0,467.789121679282,0.27649421868320506,0.0024494283093640626
1133.0,468.20176233014934,0.27673916151415484,0.002449428309886179
1134.0,468.60676970652634,0.2769841043451648,0.002449428309571281
1135.0,469.0165214199202,0.27722904717607183,0.002449428309577445
1136.0,469.4253785749852,0.2774739900070828,0.0024494283098821204
1137.0,469.830734551045,0.27771893283803156,0.0024494283093649963
1138.0,470.2432817126167,0.2779638756689926,0.002449428309927545
1139.0,470.647933046603,0.27820881849999124,0.002449428309501006
1140.0,471.05881097836516,0.27845376133090244,0.002449428309653626
1141.0,471.466470330765,0.2786987041619205,0.002449428309824014
1142.0,471.87250192764526,0.27894364699285795,0.0024494283093855138
1143.0,472.28467931589984,0.27918858982383027,0.002449428309950508
1144.0,472.6891650599715,0.2794335326548176,0.0024494283094413484
1145.0,473.1008927725853,0.27967847548574004,0.002449428309730185
1146.0,473.5075452408396,0.2799234183167581,0.0024494283097548095
1147.0,473.9144433291423,0.28016836114768423,0.002449428309424649
1148.0,474.32597454798497,0.28041330397866787,0.0024494283099538226
1149.0,474.73048515071247,0.2806582468096439,0.0024494283093965674
1150.0,475.1427863348655,0.2809031896405777,0.002449428309802104
1151.0,475.5486226665288,0.28114813247159576,0.0024494283096793247
1152.0,475.95657831256636,0.2813930753025106,0.0024494283094798792
1153.0,476.36718679977804,0.2816380181335056,0.002449428309937356
1154.0,476.7719127426278,0.28188296096447035,0.0024494283093696714
1155.0,477.18451116209746,0.2821279037954154,0.002449428309864326
1156.0,477.58972197255287,0.28237284662643003,0.002449428309602319
1157.0,477.99892647607925,0.28261778945733707,0.0024494283095469467
1158.0,478.40833544900624,0.2828627322883433,0.0024494283099016517
1159.0,478.813467283024,0.28310767511929674,0.002449428309362008
1160.0,479.22608672010546,0.2833526179502531,0.0024494283099123597
1161.0,479.63086253070935,0.2835975607812564,0.0024494283095290214
1162.0,480.04130716935197,0.28384250361216345,0.002449428309621649
1163.0,480.44943986405514,0.28408744644318096,0.0024494283098496425
1164.0,480.85516824655787,0.28433238927412313,0.0024494283093745616
1165.0,481.26753244786096,0.2845773321050908,0.0024494283099432235
1166.0,481.672063723553,0.2848222749360828,0.002449428309464435
1167.0,482.08347271496956,0.2850672177670006,0.002449428309698739
1168.0,482.49051940774615,0.28531216059801867,0.00244942830978461
1169.0,482.89703513915515,0.2855571034289495,0.0024494283094063864
1170.0,483.30886776159406,0.2858020462599285,0.0024494283099549654
1171.0,483.7133449480865,0.2860469890909092,0.0024494283094132147
1172.0,484.1254419365454,0.28629193192183827,0.002449428309773307
1173.0,484.5315934410714,0.28653687475285633,0.0024494283097111756
1174.0,484.93908750202326,0.2867818175837759,0.002449428309455325
1175.0,485.350112058813,0.28702676041476616,0.0024494283099465554
1176.0,485.7547256194807,0.2872717032457356,0.002449428309378483
1177.0,486.16723434511096,0.287516646076676,0.0024494283098399454
1178.0,486.5726813268946,0.28776158890769404,0.002449428309634013
1179.0,486.98134491576155,0.2880065317386023,0.0024494283095178922
1180.0,487.39128472223877,0.2882514745696038,0.002449428309918547
1181.0,487.7962251748361,0.2884964174005619,0.0024494283093626766
1182.0,488.20886941885124,0.2887413602315136,0.002449428309894287
1183.0,488.6138024336336,0.28898630306252154,0.0024494283095585325
1184.0,489.0237662670315,0.2892312458934286,0.0024494283095900233
1185.0,489.43240512366765,0.2894761887244414,0.0024494283098729737
1186.0,489.8378630770008,0.28972113155538826,0.0024494283093669566
1187.0,490.2503666073643,0.28996607438635125,0.0024494283099327123
1188.0,490.6549761389372,0.29021101721734793,0.00244942830948989
1189.0,491.0660189230115,0.290455960048261,0.002449428309666853
1190.0,491.47349262777243,0.2907009028792791,0.002449428309812902
1191.0,491.8796588184579,0.2909458457102146,0.002449428309390981
1192.0,492.29174533581437,0.29119078854118885,0.0024494283099525263
1193.0,492.6962218333692,0.29143573137217427,0.0024494283094326167
1194.0,493.10806715645356,0.2916806742030987,0.002449428309743074
1195.0,493.51456659585267,0.29192561703411674,0.002449428309742351
1196.0,493.9216319252964,0.292170559865041,0.002449428309433153
1197.0,494.33302500898816,0.29241550269602656,0.002449428309952477
1198.0,494.7375589241159,0.29266044552700066,0.002449428309390694
1199.0,495.1499304932809,0.29290538835793634,0.0024494283098135654
1200.0,495.5556463895487,0.2931503311889544,0.002449428309666062
1201.0,495.96380196128075,0.2933952740198673,0.0024494283094904663
1202.0,496.3742250152639,0.29364021685086417,0.002449428309932347
1203.0,496.7790068387276,0.29388515968182694,0.0024494283093667467
1204.0,497.1916284247706,0.29413010251277394,0.0024494283098734594
1205.0,497.59675137452945,0.2943750453437866,0.0024494283095892787
1206.0,498.00618687696766,0.29461998817469365,0.002449428309559319
1207.0,498.415364730502,0.2948649310057018,0.002449428309893922
1208.0,498.82058502891164,0.2951098738366533,0.0024494283093628474
1209.0,499.23318041186104,0.29535481666761165,0.0024494283099190097
1210.0,499.6379009241716,0.29559975949861306,0.0024494283095172565
1211.0,500.04853000515084,0.2958447023295215,0.002449428309634768
1212.0,500.4564635218703,0.29608964516053954,0.0024494283098392957
1213.0,500.86231297438997,0.29633458799147977,0.002449428309378692
1214.0,501.2746058893472,0.29657953082244937,0.0024494283099467063
1215.0,501.6791144232365,0.29682447365343945,0.0024494283094547327
1216.0,502.09066060558837,0.2970694164843592,0.002449428309711908
1217.0,502.4975407516142,0.29731435931537725,0.00244942830977259
1218.0,502.9042101868334,0.29755930214630616,0.002449428309413659
1219.0,503.3159242699767,0.297804244977287,0.0024494283099549662
1220.0,503.7204112715687,0.29804918780826584,0.002449428309405994
1221.0,504.1325982198545,0.29829413063919685,0.0024494283097853124
1222.0,504.538615780784,0.2985390734702149,0.002449428309697993
1223.0,504.94629621388816,0.29878401630113255,0.00244942830946506
1224.0,505.357154948453,0.29902895913212474,0.0024494283099430825
