# uq_sweep.py main/train  2026-07-19T10:01:55+00:00
# seed=42  n=256  N=200  T=400.0  dt=0.0001  rel_tol=0.1
# python=3.14.6  numpy=2.3.4
# wall_seconds=3171  workers=8
delta,A,alpha,v_sim,v_pred,ratio,run_seconds
0.00090116574,0.91781189,0.090278445,0.201825,0.205197,1.016709,78.2
0.00093328093,0.94656307,0.094818488,0.205507,0.208719,1.015629,77.2
0.00099604003,0.93610653,0.10563016,0.195150,0.198246,1.015862,86.8
0.00091337479,1.0886047,0.095937583,0.229334,0.232021,1.011717,77.5
0.0010305602,1.0611857,0.092829084,0.258372,0.261626,1.012594,77.2
0.0010930373,0.94849852,0.092179259,0.245216,0.249153,1.016058,77.4
0.00094192021,0.99611706,0.094659866,0.218650,0.221724,1.014057,77.7
0.00095970204,1.0393332,0.091185309,0.240588,0.243763,1.013196,77.5
0.0010990424,1.0445461,0.10796018,0.234459,0.237491,1.012931,78.2
0.0009317744,1.0157543,0.092224215,0.226211,0.229296,1.013638,77.7
0.0009541669,1.055254,0.092693445,0.239288,0.242316,1.012654,87.8
0.0010694518,0.9349282,0.10140121,0.216658,0.220186,1.016283,84.2
0.001001377,1.0279208,0.10461402,0.217583,0.220459,1.013220,80.3
0.0010541176,1.0361853,0.10954806,0.220468,0.223347,1.013056,79.5
0.00098231578,0.98741408,0.092936388,0.229390,0.232731,1.014563,80.1
0.0010768082,1.0965577,0.1022809,0.254143,0.257134,1.011770,79.6
0.0010696544,1.0196297,0.10638121,0.226146,0.229200,1.013506,80.3
0.00090870921,1.0258935,0.094235476,0.218618,0.221524,1.013291,80.2
0.0010116688,1.0794477,0.10977337,0.220499,0.223141,1.011979,77.8
0.00093393586,0.90951011,0.10157867,0.184997,0.188105,1.016800,83.8
0.0010745182,1.0863338,0.094486151,0.270575,0.273848,1.012097,80.5
0.0010255701,1.0546811,0.10220126,0.233538,0.236474,1.012571,80.1
0.00094808828,0.98594063,0.10821365,0.191707,0.194432,1.014213,79.5
0.00094526261,1.0039192,0.093114085,0.224536,0.227700,1.014095,79.3
0.0010623284,0.9390571,0.096900031,0.225689,0.229319,1.016084,80.8
0.00091834326,1.0988942,0.095184434,0.234417,0.237166,1.011725,80.7
0.001028419,0.9696304,0.090160568,0.241868,0.245542,1.015191,77.5
0.0010710833,1.0249198,0.10315292,0.234311,0.237470,1.013480,84.7
